"","PID","HHID","Sex","Ethnicity","Age","BMI","Grip","Religion","ReligionPublic","ReligionPrivate","GodInequality","EducationYears","PeaceVote","AbortionLegal","QueerMarriageOK","DrugsLegal","GiveOther","LeaveOther","ReduceOther","ChildrenAlive","hh_wealth","RelPub","RelPri","GodIneq","community"
"349","T3M","FJQ","F","MESTIZO",35.75,25.5937370619895,"UNKNOWN","JEHOVAHS WITNESS","MORETHANONCEPERWEEK","EVERYDAY","NO",20,"DONTKNOW","DISAGREE","DISAGREE","DISAGREE",10,123,3,3,23213,1,1,2,"highland"
"350","T7P","RG6","F","MESTIZO",34.5833333333333,21.7554685336814,"UNKNOWN","CATHOLIC","AFEWTIMESPERYEAR","NEVER","NO",13,"DISAGREE","AGREE","AGREE","AGREE",8,139,0,3,13200,2,2,2,"highland"
"351","TE6","Q87","F","MESTIZO",17.25,22.0260348632944,"UNKNOWN","CATHOLIC","AFEWTIMESPERMONTH","AFEWTIMESPERMONTH","NO",11,"DONTKNOW","DISAGREE","DISAGREE","DISAGREE",0,124,0,0,8560,2,2,2,"highland"
"352","TXW","MSB","F","MESTIZO",46.0833333333333,24.0444444444444,"UNKNOWN","CATHOLIC","AFEWTIMESPERMONTH","EVERYDAY","YES",4,"DISAGREE","DISAGREE","AGREE","DISAGREE",5,46,0,3,26950.2,2,1,1,"highland"
"353","UFK","BFB","F","MESTIZO",39.4166666666667,30.0888888888889,"UNKNOWN","CATHOLIC","AFEWTIMESPERYEAR","EVERYDAY","YES",5,"DONTKNOW","AGREE","DISAGREE","AGREE",10,139,0,3,23550,2,1,1,"highland"
"354","UUP","SNB","F","MESTIZO",38.25,20.4924945184685,"UNKNOWN","CATHOLIC","AFEWTIMESPERMONTH","EVERYDAY","YES",11,"DONTKNOW","AGREE","DISAGREE","DISAGREE",10,5,0,3,12778,2,1,1,"highland"
"355","V2Q","XBU","F","MESTIZO",16.75,20.2754820936639,"UNKNOWN","CATHOLIC","AFEWTIMESPERMONTH","EVERYDAY","DONTKNOW",11,"DONTKNOW","AGREE","AGREE","AGREE",10,122,0,0,13393.1,2,1,2,"highland"
"356","VEK","A3C","F","MESTIZO",39,30.6353834050627,"UNKNOWN","CATHOLIC","AFEWTIMESPERMONTH","EVERYDAY","YES",5,"DONTKNOW","DISAGREE","DISAGREE","DISAGREE",8,135,0,4,6001,2,1,1,"highland"
"357","VZ8","F35","F","MESTIZO",40.4166666666667,25.390625,"UNKNOWN","CATHOLIC","AFEWTIMESPERMONTH","EVERYDAY","NO",5,"AGREE","DISAGREE","DISAGREE","DISAGREE",7,139,0,1,26780,2,1,2,"highland"
"358","W2P","XMM","M","MESTIZO",56.4166666666667,22.5895514360501,"UNKNOWN","CATHOLIC","AFEWTIMESPERMONTH","AFEWTIMESPERMONTH","NO",5,"DONTKNOW","DONTKNOW","DONTKNOW","DONTKNOW",6,6,0,3,6860,2,2,2,"highland"
